City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,kidal,18.4411,1.4078,301.51,47,88,6.67,ML,1691536350
121,vorkuta,67.5,64.0,282.38,73,100,3.71,RU,1691536363
122,saint-denis,48.9167,2.3333,292.65,73,75,2.57,FR,1691536594
123,newman,37.3138,-121.0208,309.39,22,0,4.02,US,1691536357
124,klyuchi,52.2667,79.1667,291.5,46,54,1.37,RU,1691536277
125,st. john's,47.5649,-52.7093,287.19,89,100,3.6,CA,1691536400
126,alice springs,-23.7,133.8833,286.9,51,0,0.0,AU,1691536642
127,fale old settlement,-9.3852,-171.2468,301.05,78,95,5.84,TK,1691536336
128,nuuk,64.1835,-51.7216,280.49,81,91,2.24,GL,1691536404
129,inirida,3.8653,-67.9239,299.55,83,27,1.33,CO,1691536643
130,bikenibeu village,1.3673,173.1241,303.13,79,75,2.06,KI,1691536333
131,port mathurin,-19.6833,63.4167,295.3,66,12,9.33,MU,1691536301
132,garachico,28.7781,-17.7646,294.53,73,0,1.54,ES,1691536644
133,holualoa,19.6228,-155.9522,302.47,64,0,4.63,US,1691536290
134,bela,25.9333,81.9833,300.82,77,100,2.86,IN,1691536645
135,peniche,39.3558,-9.3811,294.42,93,18,2.77,PT,1691536469
136,solwezi,-12.1688,26.3894,287.69,49,5,1.85,ZM,1691536645
137,lepsy,46.235,78.9456,296.3,44,74,5.25,KZ,1691536645
138,queenstown,-31.8976,26.8753,283.27,80,82,2.24,ZA,1691536300
139,jucas,-6.5253,-39.5275,299.06,39,60,0.85,BR,1691536491
140,hove,50.8309,-0.1672,290.55,94,98,3.13,GB,1691536646
141,haiku-pauwela,20.9219,-156.3051,302.32,61,39,10.62,US,1691536306
142,katabu,-4.9333,122.5167,297.44,82,56,2.95,ID,1691536646
143,pacocha,-17.5833,-71.3333,289.96,86,2,1.75,PE,1691536647
144,avarua,-21.2078,-159.775,297.18,57,24,5.14,CK,1691536270
145,khash,28.2211,61.2158,298.38,22,0,1.28,IR,1691536647
146,homer,59.6425,-151.5483,291.91,69,40,5.14,US,1691536647
147,laguna,38.421,-121.4238,309.01,40,0,5.14,US,1691536294
148,lompoc,34.6391,-120.4579,296.95,75,75,4.12,US,1691536303
149,port lincoln,-34.7333,135.8667,286.21,46,0,9.75,AU,1691536085
150,carutapera,-1.195,-46.02,298.65,83,51,3.46,BR,1691536379
151,port douglas,-16.4833,145.4667,294.89,74,75,6.56,AU,1691536399
152,aasiaat,68.7098,-52.8699,277.22,72,60,1.44,GL,1691536289
153,enewetak,11.3474,162.3373,301.87,77,92,6.94,MH,1691536337
154,baker city,44.7749,-117.8344,299.59,44,0,0.0,US,1691536649
155,ijebu-igbo,6.9798,4.0033,295.32,99,24,1.22,NG,1691536649
156,cabo san lucas,22.8909,-109.9124,309.6,52,20,7.72,MX,1691536351
157,alvaraes,-3.2208,-64.8042,302.08,44,93,1.11,BR,1691536650
158,touros,-5.1989,-35.4608,297.7,84,94,5.3,BR,1691536312
159,errachidia,31.9275,-4.4285,309.18,13,40,6.17,MA,1691536650
160,vadso,70.0744,29.7487,293.64,82,11,1.54,NO,1691536267
161,lichinga,-13.3128,35.2406,285.88,69,39,2.7,MZ,1691536651
162,tannum sands,-23.9504,151.3693,294.12,56,4,5.14,AU,1691536651
163,arrifes,37.7667,-25.7,295.29,83,40,4.12,PT,1691536651
164,lerwick,60.1545,-1.1494,283.15,80,100,13.92,GB,1691536411
165,hammerfest,70.6634,23.6821,296.4,73,0,0.0,NO,1691536327
166,chimbote,-9.0853,-78.5783,293.49,79,66,5.64,PE,1691536465
167,fortuna,40.5982,-124.1573,295.89,74,0,6.17,US,1691536403
168,saldanha,-33.0117,17.9442,284.82,85,0,5.91,ZA,1691536274
169,ambovombe,-25.1667,46.0833,291.79,91,27,3.73,MG,1691536353
170,plastun,44.7561,136.2939,291.03,84,100,1.6,RU,1691536652
171,grand gaube,-20.0064,57.6608,295.03,70,1,0.89,MU,1691536369
172,isafjordur,66.0755,-23.124,282.17,76,0,0.0,IS,1691536303
173,lorengau,-2.0226,147.2712,301.45,75,93,7.55,PG,1691536316
174,pangkalpinang,-2.1333,106.1333,297.51,87,7,3.18,ID,1691536653
175,pacific grove,36.6177,-121.9166,296.14,78,0,6.69,US,1691536358
176,luderitz,-26.6481,15.1594,289.27,66,0,6.6,NA,1691536325
177,egilsstadir,65.2653,-14.3948,280.1,81,100,4.12,IS,1691536323
178,cabedelo,-6.9811,-34.8339,297.52,85,38,5.65,BR,1691536655
179,hithadhoo,-0.6,73.0833,300.51,76,100,2.61,MV,1691536310
180,rensselaer,42.7168,-73.4829,293.58,83,85,4.22,US,1691536542
181,saint-philippe,-21.3585,55.7679,292.92,78,38,3.84,RE,1691536379
182,flin flon,54.7682,-101.865,288.06,72,75,6.69,CA,1691536262
183,kropyvnytskyi,48.5132,32.2597,288.23,90,100,6.52,UA,1691536656
184,churachandpur,24.3333,93.6667,293.33,99,99,0.64,IN,1691536657
185,freetown,8.484,-13.2299,298.5,89,96,4.27,SL,1691536657
